age,education_years,hours_per_week,gender,income
36,19,51,1,1
19,17,54,1,1
61,15,57,0,0
43,9,45,1,0
49,16,30,1,1
23,8,54,0,0
49,15,27,1,1
21,19,33,0,0
28,18,29,1,1
34,19,21,1,1
55,19,28,1,1
41,11,22,0,0
22,11,40,1,1
69,12,45,1,1
51,15,27,1,1
23,12,21,0,0
39,15,25,0,0
28,17,47,1,1
65,8,48,0,0
33,19,45,1,1
50,17,44,1,1
26,16,31,1,1
23,13,24,1,1
33,10,53,1,1
46,15,56,0,1
20,16,34,0,1
37,13,55,0,1
53,18,34,0,0
36,14,42,1,1
43,8,25,1,0
20,12,40,1,1
36,12,42,1,0
37,17,35,1,1
49,11,34,1,1
24,13,44,1,0
69,14,55,1,1
58,16,30,0,1
50,8,34,0,1
57,13,23,0,0
56,14,40,1,1
35,10,32,1,1
57,15,41,0,1
18,12,38,1,1
28,16,53,1,1
45,12,33,0,1
42,16,23,0,1
67,17,46,1,0
40,11,48,0,1
48,16,47,0,0
47,12,54,1,1
59,17,27,1,1
52,16,35,1,1
24,10,55,0,0
33,11,49,0,0
43,16,37,1,1
65,17,21,1,1
69,18,32,1,1
66,13,23,0,1
19,9,45,1,1
18,14,44,0,1
65,9,49,0,0
29,18,30,0,0
22,9,26,0,0
54,18,50,1,0
49,8,29,1,0
26,18,58,0,1
58,18,32,1,0
52,19,50,0,0
36,18,26,1,1
65,10,55,1,1
33,13,39,0,1
20,15,23,1,0
37,16,26,0,1
41,14,20,0,0
50,11,32,0,0
41,13,41,1,1
69,12,40,1,1
28,15,41,0,0
66,8,47,1,0
25,8,28,1,1
53,18,45,1,1
55,13,28,1,1
57,17,34,1,1
37,19,29,0,1
52,9,43,0,0
65,12,27,1,1
42,8,43,0,1
52,14,35,1,0
42,8,45,1,0
46,11,46,0,1
35,16,56,0,0
63,8,23,0,0
35,11,43,1,1
19,13,38,0,1
52,13,55,0,1
33,19,58,0,1
58,15,29,0,0
53,8,44,1,0
50,14,37,0,0
21,8,38,1,0
50,14,55,0,1
31,10,29,0,0
38,18,52,1,0
65,15,24,0,0
37,10,54,1,1
25,8,53,1,0
24,15,52,0,0
20,10,40,1,0
34,9,36,0,0
50,8,41,0,0
65,10,56,1,1
29,9,34,1,0
68,9,54,1,0
39,13,47,1,0
39,19,26,1,1
63,8,51,0,0
47,9,30,0,0
55,13,29,1,0
55,10,28,0,0
62,11,33,1,1
68,8,32,1,0
25,15,44,0,1
44,14,21,1,1
44,14,54,1,1
51,10,26,0,1
38,17,40,1,0
47,17,37,1,1
50,10,22,0,1
45,9,58,1,1
64,19,30,1,1
50,8,58,0,1
22,14,43,1,0
65,14,38,0,0
36,19,23,1,0
21,9,45,1,1
52,14,57,0,1
66,15,51,0,0
34,8,58,1,0
61,16,55,1,1
45,14,59,1,1
47,10,56,0,1
46,15,52,1,0
63,14,55,1,0
23,18,22,1,1
52,15,28,0,0
58,13,27,1,1
54,16,52,1,0
41,12,25,0,1
46,10,58,1,0
66,10,23,0,0
63,8,32,1,0
48,19,21,1,1
52,15,24,0,0
50,9,46,1,0
69,10,51,1,1
38,15,40,0,1
49,15,27,1,0
40,18,57,1,1
50,11,27,1,1
20,11,22,0,0
35,12,22,1,1
42,13,41,1,1
59,12,25,0,1
48,14,21,1,1
20,9,42,1,1
57,14,21,1,1
63,17,57,0,1
41,14,36,1,1
67,8,54,1,0
49,14,53,0,0
64,12,42,1,1
39,10,49,1,1
40,10,27,1,1
19,11,41,0,1
44,19,55,1,1
59,9,24,1,0
19,9,32,1,1
43,8,48,1,0
34,12,50,1,1
57,11,35,0,1
50,18,49,0,0
26,17,35,1,1
60,9,31,0,1
65,10,36,0,0
56,14,35,0,1
46,14,31,0,1
59,19,27,0,0
43,11,39,1,1
52,12,22,0,1
67,12,35,1,0
42,13,49,1,0
41,16,42,1,0
30,9,47,0,0
24,12,59,1,1
53,19,24,1,1
62,10,39,1,1
37,11,59,1,1
18,17,20,1,0
25,13,49,0,0
63,19,40,1,1
33,15,39,1,1
31,8,25,1,1
29,17,41,1,1
68,15,37,0,1
40,18,27,1,0
32,14,58,0,1
45,8,51,0,0
51,9,52,0,0
19,10,35,0,1
49,8,31,1,0
40,16,57,0,1
39,15,53,0,0
68,9,33,1,1
42,16,55,1,1
39,14,52,1,1
39,16,42,1,0
66,13,21,1,1
69,13,40,0,1
59,18,21,0,0
23,11,46,1,1
32,17,28,0,1
60,17,20,1,0
54,9,30,0,1
50,14,22,0,0
25,12,42,1,1
61,18,45,1,0
61,13,23,1,1
22,9,37,1,1
56,12,25,0,0
21,17,54,0,1
23,11,41,1,1
62,16,34,1,0
49,13,41,0,1
69,9,56,1,1
47,8,31,0,1
64,12,57,1,1
52,16,37,0,1
57,13,54,1,1
69,17,49,1,1
33,19,43,0,0
30,14,49,1,0
67,12,33,0,0
59,17,25,0,0
47,13,22,0,1
36,12,35,0,1
34,18,26,0,0
36,16,33,1,0
45,13,28,1,0
43,18,34,1,1
54,15,40,0,0
43,9,54,0,0
40,19,21,0,1
26,16,46,0,1
29,12,21,1,0
18,14,54,0,1
18,17,37,1,1
64,8,33,1,1
51,17,39,1,1
49,12,37,1,0
65,19,29,1,1
42,17,44,1,0
57,9,21,1,1
62,19,44,1,1
18,13,52,0,1
33,18,55,0,1
56,8,50,0,0
22,10,33,1,1
39,12,20,0,1
46,11,35,1,1
20,10,22,1,1
29,17,54,0,1
43,12,25,0,1
33,18,44,1,1
68,15,32,1,0
54,18,53,1,1
39,11,27,0,1
46,8,40,0,1
31,18,53,0,1
45,14,23,0,1
22,15,44,1,0
64,10,34,1,0
66,13,23,1,1
47,9,31,1,0
63,14,51,1,0
69,15,51,1,1
22,13,47,0,1
29,13,32,1,1
33,12,50,0,1
43,15,33,1,1
43,8,39,1,1
65,17,37,0,0
38,11,48,1,1
56,11,25,1,1
53,10,51,1,1
50,10,48,1,1
47,11,21,1,1
54,18,42,0,1
40,8,38,0,1
27,18,50,1,1
22,18,24,1,1
53,9,38,0,0
51,16,53,0,1
69,17,29,1,1
48,9,44,1,1
27,12,21,1,1
36,16,30,1,1
49,16,50,0,1
18,15,34,0,1
22,8,28,1,1
62,8,42,0,0
21,16,38,0,0
33,18,28,0,1
41,15,54,1,0
33,17,40,1,1
19,16,28,0,0
66,14,47,1,0
45,10,26,1,1
49,10,35,1,0
44,9,35,0,1
37,12,52,1,1
41,19,23,0,0
29,19,23,1,1
67,10,58,1,1
52,13,59,0,0
50,9,36,1,1
50,19,56,1,1
68,10,58,0,0
60,12,48,1,1
54,19,55,0,1
29,18,57,1,1
20,18,58,0,0
18,8,56,1,0
50,8,54,0,0
57,17,26,1,1
27,16,46,1,1
60,14,47,1,1
61,8,41,1,1
46,19,33,1,1
30,15,26,0,1
29,10,56,0,1
48,15,41,1,1
63,12,24,0,0
19,8,21,1,1
68,14,46,1,1
67,12,40,0,0
52,13,57,1,1
40,13,34,1,1
34,15,40,1,0
43,16,29,0,0
25,9,42,0,0
46,16,58,1,1
43,19,24,1,1
27,18,20,1,0
43,17,32,1,0
51,16,40,0,1
68,17,45,1,0
58,17,40,0,0
24,14,37,1,0
21,8,56,1,1
67,14,51,1,1
62,17,55,1,1
28,12,36,0,1
46,13,54,1,1
53,17,30,0,1
42,14,40,1,0
38,12,45,0,1
53,14,23,1,1
27,16,53,1,0
54,10,37,0,1
26,15,59,0,1
41,9,54,1,0
52,18,48,1,1
66,14,48,0,0
52,9,57,0,1
65,11,40,0,0
53,14,32,1,1
35,10,36,1,1
66,9,28,0,1
56,18,20,0,1
49,17,21,0,0
41,14,48,0,0
40,8,52,0,1
49,15,29,0,0
54,10,59,0,1
29,19,40,1,1
66,19,47,0,1
30,9,30,1,0
40,10,53,1,1
42,12,27,1,1
52,18,41,1,1
58,15,27,1,0
47,17,34,1,0
34,14,36,1,1
66,14,42,1,1
37,19,43,1,0
65,14,38,1,1
42,15,24,0,0
39,8,51,0,0
30,11,20,0,0
36,13,42,1,0
66,16,56,1,1
53,9,27,1,0
29,8,32,1,1
58,17,27,1,0
36,19,42,0,0
29,9,20,1,0
26,14,43,1,0
24,10,54,1,1
45,17,43,0,0
31,9,36,1,0
48,18,24,1,0
69,14,39,1,1
36,9,40,1,1
64,10,59,1,1
33,18,50,0,1
22,14,55,1,1
52,11,30,1,1
29,8,34,1,1
42,12,38,1,1
69,19,26,0,0
38,16,47,0,1
53,15,24,1,1
40,19,24,1,1
33,16,49,1,1
56,17,51,0,1
62,16,27,1,1
59,14,29,1,0
56,11,57,1,1
31,12,51,0,1
48,8,47,1,1
22,8,36,1,1
52,10,50,0,0
40,15,27,1,1
46,9,59,1,1
60,11,44,1,1
28,9,28,1,1
35,12,21,0,0
64,16,34,0,1
29,8,22,0,0
26,12,55,0,0
27,16,23,1,0
61,8,33,0,1
34,16,44,1,0
55,15,29,1,0
24,11,40,1,1
63,19,55,1,1
30,18,31,1,0
57,17,46,1,1
59,12,59,0,0
26,12,21,1,0
67,18,32,1,1
44,19,51,1,1
19,13,50,1,0
22,14,35,1,0
46,15,51,1,0
54,15,51,0,1
55,18,53,1,1
36,9,30,1,0
25,16,29,0,0
65,14,34,1,1
62,11,36,0,0
18,11,59,1,1
39,18,37,1,1
69,15,28,0,0
34,11,44,1,1
24,13,59,1,0
42,12,33,0,0
62,10,44,1,1
21,17,41,1,0
53,18,49,0,0
23,9,39,0,0
48,16,40,0,1
36,17,51,0,1
61,16,40,1,1
56,8,54,1,1
44,17,51,0,0
27,10,49,1,1
43,15,58,0,1
36,13,31,1,1
56,12,37,1,0
20,12,40,0,1
62,13,32,1,1
30,14,40,1,1
67,8,27,0,0
45,16,59,0,0
37,10,26,1,1
45,11,42,1,1
25,17,51,1,1
58,8,30,1,1
56,18,41,1,1
18,17,41,1,1
20,10,44,1,0
30,9,41,1,1
45,9,47,0,0
66,8,48,1,1
42,15,32,1,1
50,10,37,0,0
55,10,21,1,0
23,13,48,0,0
61,15,40,1,0
62,16,34,1,0
49,16,46,0,0
62,11,50,0,1
64,12,34,0,1
38,9,42,1,1
33,18,43,0,0
38,16,32,1,0
28,15,41,0,1
54,10,56,1,1
53,18,52,1,1
52,19,22,1,0
36,16,38,1,1
37,10,42,1,1
35,16,48,1,1
64,9,49,0,1
58,19,58,0,1
66,17,44,0,1
31,16,56,0,0
32,15,27,0,0
48,16,35,1,0
18,12,27,1,1
20,18,20,0,1
33,18,24,1,1
40,9,22,0,1
28,15,20,1,1
29,19,23,1,1
27,13,59,1,0
49,15,54,1,0
33,18,51,0,0
25,12,53,1,0
55,17,44,1,1
29,9,29,0,1
41,13,40,1,1
45,12,58,0,1
25,19,46,1,1
45,19,46,0,1
53,12,21,0,1
43,8,32,1,1
25,9,28,1,1
67,15,55,0,1
45,10,41,0,1
45,17,45,1,1
54,10,31,0,0
58,15,36,0,0
53,15,33,1,1
44,9,33,1,0
34,15,53,0,0
26,18,39,1,1
50,8,30,1,1
37,13,35,1,1
30,15,50,1,1
45,10,25,0,1
65,15,38,0,0
46,19,56,0,1
30,8,23,1,1
63,18,23,0,1
52,18,39,1,0
23,16,29,0,1
35,18,43,0,1
68,16,54,1,1
22,12,45,1,0
64,17,56,0,1
42,11,57,1,1
19,18,40,0,1
27,13,59,1,1
47,19,58,1,1
67,14,40,0,1
62,12,29,1,1
22,18,57,1,0
50,17,23,1,1
18,16,39,0,1
35,10,36,0,1
49,14,26,1,0
64,17,23,0,0
66,17,48,1,1
28,18,33,1,1
38,12,22,1,1
43,14,43,0,0
42,9,56,0,1
39,11,35,1,1
44,9,23,0,0
66,19,43,0,0
30,14,53,0,0
50,9,49,0,1
51,18,37,1,1
58,8,38,0,0
52,16,50,0,0
18,8,38,0,0
38,15,38,1,0
65,9,41,1,1
23,19,43,0,0
45,15,31,1,1
34,10,49,1,0
22,13,57,1,1
48,10,50,1,1
22,14,55,0,0
55,17,38,0,0
20,16,55,0,1
40,9,49,0,0
54,19,52,1,0
54,19,37,0,0
27,12,47,0,1
27,13,30,1,1
36,11,52,1,1
34,11,36,0,1
38,11,25,0,0
31,9,23,0,0
26,11,39,1,1
63,18,46,0,1
18,8,34,0,0
68,19,25,1,1
62,13,33,0,1
30,8,30,1,1
21,17,58,1,1
18,13,28,0,0
66,8,45,1,0
57,13,35,1,1
49,17,24,0,0
51,15,29,1,1
45,18,22,1,1
48,9,32,1,0
25,9,49,0,1
56,19,25,1,1
43,11,36,0,1
51,18,38,0,0
20,10,54,0,1
67,11,45,0,1
29,19,24,1,1
18,14,48,0,1
61,18,56,0,1
22,8,39,1,1
47,13,40,0,1
47,10,29,0,0
34,18,24,0,0
65,17,55,0,1
64,14,25,0,0
40,17,45,1,0
32,9,23,0,1
54,9,58,0,0
38,11,58,1,1
31,8,54,1,1
19,10,20,0,1
28,16,43,1,1
68,14,55,0,1
56,14,25,1,1
55,18,50,1,1
51,11,39,0,0
55,9,43,1,1
67,11,44,0,1
51,13,55,1,1
35,18,40,0,0
47,18,49,1,1
32,10,43,1,1
44,8,49,1,1
68,19,41,0,1
51,15,47,1,0
69,19,26,1,1
55,12,54,1,1
50,12,47,1,1
41,18,33,1,1
32,11,29,0,0
47,13,35,0,1
59,10,35,1,1
68,16,50,0,0
34,12,44,1,1
22,10,32,1,1
46,18,25,1,1
21,8,28,0,0
27,17,55,1,1
34,19,39,1,1
27,13,37,1,1
34,9,40,1,0
37,10,23,0,1
41,8,52,1,1
22,16,46,1,1
51,15,26,0,0
23,19,25,0,1
19,9,34,1,1
30,19,37,1,1
60,18,51,1,0
60,15,30,1,0
65,19,39,0,1
28,16,43,0,1
68,8,34,0,1
64,12,26,0,1
40,15,40,0,0
33,18,45,0,1
48,9,33,0,1
28,11,56,1,1
33,14,40,0,1
25,10,37,1,1
21,19,24,1,1
57,12,22,0,1
21,15,42,0,0
42,19,45,0,1
20,17,56,0,1
49,10,43,1,1
20,11,38,0,1
44,16,44,0,0
46,14,40,0,0
49,8,31,1,0
67,19,52,1,1
68,11,23,1,1
36,11,26,0,0
38,16,41,1,1
22,13,52,1,0
35,16,36,1,1
45,19,43,1,1
59,13,53,0,0
39,13,47,1,1
38,12,58,1,1
23,12,41,0,0
18,9,36,1,1
22,15,53,1,0
58,15,25,0,0
29,18,25,1,1
43,8,53,1,1
63,15,20,1,0
51,12,29,0,1
66,9,40,1,1
31,9,24,0,0
43,13,21,1,0
62,18,41,0,1
44,16,21,1,0
26,8,29,1,0
43,19,53,1,0
64,13,35,1,0
39,16,58,1,1
64,15,41,1,0
47,18,31,0,0
60,13,43,1,1
65,10,59,0,0
34,15,57,1,1
43,16,29,0,1
53,8,54,0,1
18,19,51,1,0
25,16,26,1,0
66,13,40,0,1
52,13,39,1,1
69,19,45,1,1
32,11,23,1,0
64,8,41,0,0
39,17,34,1,1
31,15,59,1,1
43,9,40,1,1
45,19,34,1,0
40,8,41,1,1
31,9,47,0,0
41,8,33,0,0
19,8,46,0,0
62,16,59,0,1
43,8,47,0,1
31,11,45,1,1
68,17,21,0,0
24,13,44,1,1
20,14,22,0,1
64,9,27,1,0
40,13,52,1,0
63,14,54,0,1
60,17,25,0,1
64,17,58,1,1
62,9,42,0,0
35,9,44,1,1
55,17,38,1,0
